Gal,C,Flag,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ell,e_ell,E_ell,PA,e_PA,E_PA,rh,e_rh,E_rh,u_rhpc,rhpc,e_rhpc,E_rhpc,Vmag,e_Vmag,E_Vmag,VMag,e_VMag,E_VMag,logL,e_logL,E_logL,mu0,e_mu0,E_mu0
"AndI",*," ",11.415416666666665,0.3,38.037499999999994,6,0.28,0.03,0.03,30,4,4,3.9,0.1,0.1, ,815,40,40,13.1,0.2,0.2,-11.2,0.2,0.2,6.38,0.1,0.1,25.4,0.2,0.2
"AndII",*," ",19.111666666666665,0.4,33.43527777777777,6,0.16,0.02,0.02,31,5,5,5.3,0.1,0.1, ,965,45,45,12.4,0.2,0.2,-11.6,0.2,0.2,6.54,0.09,0.09,25.6,0.2,0.2
"AndIII",*," ",8.878749999999998,0.4,36.498888888888885,8,0.59,0.04,0.04,140,3,3,2.0,0.2,0.2, ,405,35,35,14.8,0.2,0.2,-9.5,0.3,0.3,5.68,0.1,0.1,25.1,0.3,0.3
"AndV",*," ",17.572916666666664,0.4,47.62833333333332,6,0.26,0.07,0.09,54,10,10,1.6,0.1,0.2, ,345,40,40,15.1,0.2,0.2,-9.3,0.2,0.2,5.61,0.1,0.1,25.6,0.3,0.3
"AndIX",*," ",13.222499999999998,0.7,43.19916666666666,8,0.0,0.0,0.16,41,65,65,2.0,0.2,0.3, ,360,50,60,15.6,0.3,0.3,-8.5,0.3,0.3,5.3,0.1,0.1,26.7,0.3,0.3
"AndX",*,"b,c",16.647499999999997,0.6,44.80749999999999,10,0.1,0.1,0.34,30,12,20,1.1,0.2,0.4, ,210,35,70,16.7,0.3,0.3,-7.4,0.3,0.3,4.9,0.1,0.1,26.6,0.5,0.6
"AndXI",*," ",11.582083333333332,0.6,33.80277777777777,8,0.19,0.19,0.28,54,30,30,0.6,0.2,0.2, ,120,44,53,18.0,0.4,0.4,-6.3,0.4,0.6,4.4,0.2,0.2,26.8,0.6,0.6
"AndXII",*,"c",11.867916666666664,1.3,34.377222222222215,37,0.61,0.48,0.16,16,36,12,1.8,0.7,1.2, ,420,200,280,17.7,0.5,0.5,-7.0,0.5,0.7,4.7,0.2,0.2,28.7,0.9,0.7
"AndXIII",*," ",12.962499999999999,0.5,33.00444444444444,13,0.61,0.2,0.14,-20,12,9,0.8,0.3,0.4, ,130,62,80,17.8,0.4,0.4,-6.5,0.5,0.7,4.5,0.3,0.2,26.6,0.6,0.6
"AndXIV",*," ",12.895833333333332,0.5,29.68972222222222,10,0.17,0.17,0.16,-4,14,14,1.5,0.2,0.2,~,265,,,15.8,0.3,0.3,-8.5,0.3,0.4,5.3,0.2,0.1,26.3,0.3,0.3
"AndXV",*," ",18.576249999999998,0.5,38.119722222222215,7,0.24,0.1,0.1,38,15,15,1.3,0.1,0.1, ,230,25,35,16.0,0.3,0.3,-8.0,0.4,0.3,5.1,0.1,0.2,26.1,0.3,0.3
"AndXVI",*," ",14.876249999999997,0.4,32.37611111111111,4,0.29,0.08,0.08,98,9,9,1.0,0.1,0.1, ,130,15,30,16.1,0.3,0.3,-7.3,0.3,0.3,4.8,0.1,0.1,25.5,0.3,0.3
"AndXVII",*," ",9.27625,0.6,44.32305555555555,6,0.5,0.1,0.1,110,9,9,1.4,0.3,0.3, ,285,45,55,16.6,0.3,0.3,-7.8,0.3,0.3,5.0,0.1,0.1,26.4,0.3,0.4
"AndXVIII",*," ",0.565,0.5,45.091111111111104,11,0.03,0.03,0.28,42,84,40,0.8,0.1,0.1, ,265,50,50,16.2,0.4,0.4,-9.2,0.4,0.3,5.6,0.2,0.2,25.2,0.5,0.4
"AndXIX",*,"b",4.893749999999999,3.0,35.04472222222222,53,0.58,0.1,0.05,34,5,5,14.2,1.9,3.4, ,3065,1065,935,14.5,0.3,0.3,-10.0,0.4,0.8,5.9,0.3,0.1,29.3,0.4,0.4
"AndXX",*," ",1.8774999999999997,0.4,35.12694444444444,6,0.11,0.11,0.41,90,44,20,0.4,0.1,0.2, ,90,20,35,18.0,0.4,0.4,-6.4,0.4,0.5,4.4,0.2,0.2,25.8,0.7,0.7
"AndXXI",*," ",358.6995833333333,1.6,42.47055555555555,20,0.36,0.13,0.1,139,13,13,4.1,0.4,0.8, ,1005,175,175,15.5,0.3,0.3,-9.1,0.3,0.3,5.5,0.1,0.1,28.0,0.3,0.3
"AndXXII",*," ",21.91833333333333,0.6,28.090277777777775,7,0.61,0.14,0.1,114,10,10,0.9,0.2,0.3, ,225,75,75,18.0,0.4,0.4,-6.7,0.5,0.7,4.6,0.3,0.2,26.9,0.5,0.6
"AndXXIII",*," ",22.3375,0.8,38.72388888888889,13,0.41,0.06,0.05,138,5,5,5.4,0.4,0.4, ,1190,100,100,14.6,0.2,0.2,-9.8,0.3,0.2,5.8,0.1,0.1,27.5,0.2,0.2
"AndXXIV",*," ",19.636249999999997,1.8,46.37027777777777,18,0.1,0.1,0.31,90,34,34,2.6,0.5,1.0, ,680,140,250,16.3,0.3,0.3,-8.4,0.4,0.4,5.3,0.2,0.2,28.2,0.4,0.4
"AndXXV",*," ",7.541249999999999,0.9,46.86138888888888,16,0.03,0.03,0.16,-16,30,30,2.7,0.2,0.4, ,545,65,95,15.3,0.2,0.3,-9.0,0.3,0.3,5.5,0.1,0.1,27.1,0.3,0.3
"AndXXVI",*,"c",5.942916666666666,1.0,47.91194444444444,16,0.35,0.35,0.33,50,90,90,1.0,0.5,0.6, ,150,80,140,18.5,0.5,0.7,-5.8,1.0,0.9,4.2,0.4,0.4,28.0,1.0,1.0
"AndXXX",*," ",9.144166666666665,0.6,49.646944444444436,5,0.43,0.12,0.1,110,9,9,1.5,0.2,0.2, ,270,50,50,16.0,0.2,0.3,-8.0,0.3,0.4,5.1,0.1,0.1,26.1,0.3,0.3
